Name,BSE Code,NSE Code,ISIN Code
Reliance Industries,500325,RELIANCE,INE002A01018
HDFC Bank,500180,HDFCBANK,INE040A01034
Bharti Airtel,532454,BHARTIARTL,INE397D01024
ICICI Bank,532174,ICICIBANK,INE090A01021
SBI,500112,SBIN,INE062A01020
TCS,532540,TCS,INE467B01029
Bajaj Finance,500034,BAJFINANCE,INE296A01032
Larsen & Toubro,500510,LT,INE018A01030
Hind. Unilever,500696,HINDUNILVR,INE030A01027
Life Insurance,543526,LICI,INE0J1Y01017
Infosys,500209,INFY,INE009A01021
Sun Pharma.Inds.,524715,SUNPHARMA,INE044A01036
Adani Power,533096,ADANIPOWER,INE814H01029
Maruti Suzuki,532500,MARUTI,INE585B01010
Adani Ports,532921,ADANIPORTS,INE742F01042
ITC,500875,ITC,INE154A01025
Axis Bank,532215,AXISBANK,INE238A01034
M & M,500520,M&M,INE101A01026
Kotak Mah. Bank,500247,KOTAKBANK,INE237A01036
NTPC,532555,NTPC,INE733E01010
O N G C,500312,ONGC,INE213A01029
Titan Company,500114,TITAN,INE280A01028
Adani Enterp.,512599,ADANIENT,INE423A01024
UltraTech Cem.,532538,ULTRACEMCO,INE481G01011
HCL Technologies,532281,HCLTECH,INE860A01027
JSW Steel,500228,JSWSTEEL,INE019A01038
Bharat Electron,500049,BEL,INE263A01024
Hind.Aeronautics,541154,HAL,INE066F01020
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010
Coal India,533278,COALINDIA,INE522F01014
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026
Power Grid Corpn,532898,POWERGRID,INE752E01010
Avenue Super.,540376,DMART,INE192R01011
Nestle India,500790,NESTLEIND,INE239A01024
Hindustan Zinc,500188,HINDZINC,INE267A01025
Tata Steel,500470,TATASTEEL,INE081A01020
Asian Paints,500820,ASIANPAINT,INE021A01026
Eternal,543320,ETERNAL,INE758T01015
Hindalco Inds.,500440,HINDALCO,INE038A01020
Adani Green,541450,ADANIGREEN,INE364U01010
Shriram Finance,511218,SHRIRAMFIN,INE721A01047
Wipro,507685,WIPRO,INE075A01022
Grasim Inds,500300,GRASIM,INE047A01021
I O C L,530965,IOC,INE242A01010
Eicher Motors,505200,EICHERMOT,INE066A01021
SBI Life Insuran,540719,SBILIFE,INE123W01016
Divi's Lab.,532488,DIVISLAB,INE361B01024
Varun Beverages,540180,VBL,INE200M01039
BSE,,BSE,INE118H01025
Solar Industries,532725,SOLARINDS,INE343H01029
Interglobe Aviat,539448,INDIGO,INE646L01027
